id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.02
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.04,0.85
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.06,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,0.90
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.08,0.02
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.03,0.95
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.05,0.72
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.04,0.88
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,0.91
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.05
11,Crown Season,Verse Kings,hip-hop,confident,0.78,95,0.65,0.88,0.08,0.28,0.00
12,Golden Hour,Silk & Soul,r&b,romantic,0.55,85,0.72,0.75,0.30,0.08,0.01
13,Dirt Roads and Starlight,The Hollow Pines,country,nostalgic,0.48,88,0.58,0.52,0.78,0.04,0.03
14,Empty Porch,Mara Cove,folk,melancholic,0.25,68,0.32,0.38,0.92,0.04,0.10
15,Winter Prelude,Elara Strings,classical,peaceful,0.22,52,0.44,0.28,0.97,0.03,0.96
16,Shatter the Sky,Iron Rift,metal,angry,0.96,168,0.35,0.55,0.04,0.07,0.05
17,Peak Hour,Neonwave,edm,euphoric,0.95,128,0.88,0.94,0.03,0.04,0.72
18,Last Train Blues,Dust & Wire,blues,sad,0.38,74,0.28,0.45,0.82,0.06,0.15
19,Holding On,Amber Ray,soul,uplifting,0.62,96,0.78,0.68,0.45,0.07,0.01
20,Island Time,The Coral Set,reggae,breezy,0.52,80,0.82,0.77,0.55,0.09,0.05
